atlas_year,quad_prefix,quad_suffix,sr,percent_conf,night_survey,complete,effort_hr,travel_hr,effort_mi
1995,4308748,CE,76,47,Y,N,32,0,0
1995,4208787,SW,2,50,N,N,7,0,0
1995,4208787,NW,83,36,Y,N,14.5,1.83,52
1995,4308855,CW,12,8,N,N,1,0,0
1995,4308728,NW,26,61,N,N,,,
1995,4308821,SE,75,28,N,N,15,2,40
1995,4308841,SE,57,8,N,N,36,0,486
1995,4308728,CE,26,26,N,N,39.5,0,0
1995,4308821,CE,44,13,N,N,4.5,0.1,6
1995,4308821,NE,47,17,N,N,11.5,10,168
1995,4208881,CE,58,60,N,N,33,0,0
1995,4208881,CE,64,7,N,N,11.5,0,36.5
1995,4308718,SE,17,52,N,N,16,6.5,325
1995,4208787,CW,39,17,N,N,16,0,0
1995,4308748,CW,83,49,Y,N,,,
1995,4308738,SW,1,,N,N,,,
1995,4308821,CW,39,15,N,N,11.5,1.75,35
1995,4308811,SE,62,32,N,N,,,
1995,4308738,SW,48,22,Y,N,10.25,0,28
1995,4308728,SE,15,6,N,N,3.5,0.75,42
1995,4308866,SE,7,42,N,N,1.5,0,0
1995,4308856,NE,29,13,N,N,3,0,0
1995,4308855,SW,57,15,N,N,10,8,360
1995,4208881,SE,71,15,N,N,22,8.25,196
1995,4308718,CE,61,44,N,N,58,0,0
1995,4308841,CE,82,30,N,N,19,9,300
1995,4308831,NE,61,14,N,Y,4.33,0,0
1995,4308728,NE,75,17,N,N,28,0,0
1995,4308841,SE,95,57,Y,N,401,87,2950
1995,4308728,CE,130,30,Y,N,,,
1995,4308821,SE,81,30,Y,Y,35.8,14.3,73.1
1995,4308811,CE,84,16,N,N,17.7,0.75,0.5
1995,4308718,NE,56,53,N,N,100,0,0
1995,4308718,CE,76,7,N,N,14,0,0
1995,4208788,CE,62,32,Y,N,64,21,333
1995,4208788,CW,55,16,Y,N,15.5,6.5,130
1995,4308811,SE,2,100,,,,,
1995,4308841,CE,1,100,,,3,,
1995,,,1,100,,,0.5,,
1995,,,7,57,,,1,,
1995,,,5,100,,,,,
1995,,,6,33,,,,,
1995,,,9,66,,,,,
1995,,,6,100,,,1,,
1995,,,2,100,,,,,
1995,,,2,100,,,3,,
1995,,,4,100,,,1,,
1995,4308821,SE,1,100,,,,,
1995,4308816,NE,1,100,,,,,
1995,,,1,100,,,,,
1995,,,1,100,,,,,
1995,,,4,50,,,1,,
1995,,,5,80,,,,,
1995,,,3,100,,,,,
1995,4208881,NW,4,100,,,,,
1995,,,6,50,,,,,
1995,,,1,,,,1.5,,
1995,,,8,62,,,,,
1995,,,4,50,,,,,
1995,4308728,CE,2,100,,,,,
1995,,,10,80,,,1,,
1995,,,2,100,,,,,
1995,,,6,83,,,,,
1995,,,2,100,,,,,
